"attribute_name","attribute_definition","example_value","unit","measurement_scale","number_type","bounds_minimum","bounds_maximum","format_string"
"id_measurement","A numeric id for measurements (starting with 1 and increasing by 1). This means that each measurement gets its own rows and measurements for different attributes are considered independent, i.e. multiple measurement ids for the same sample just count replicate measurements for any attribute. For attributes with less measurements than for a different attribute, just fill measurements starting from smaller id_measurement and leave the cells in the remaining rows empty.","1","NA","interval","natural",1,"INF","NA"
"comments_measurements","A free text field where you can enter all information related to the sample that is not covered by the remaining fields. For example you could provide information on potential contamination sources, issues with specific parameters, additional information to the sampling site, e.g. present vegetation, past vegetation, specific conditions during sampling, ... .","...","NA","nominal","NA","NA","NA","NA"
"N","A numeric value representing the nitrogen mass content of the sample [mass-%].","1.345","g/g","ratio","real",0,1,"NA"
"N_err","A numeric value representing the measurement error of the nitrogen mass content value of the sample [mass-%].","0.02","g/g","ratio","real",0,1,"NA"
"C","A numeric value representing the carbon mass content of the sample [mass-%].","35.44","g/g","ratio","real",0,1,"NA"
"C_err","A numeric value representing the measurement error of the carbon mass content value of the sample [mass-%].","0.3","g/g","ratio","real",0,1,"NA"
"O","A numeric value representing the oxygen mass content of the sample [mass-%].","28.54","g/g","ratio","real",0,1,"NA"
"O_err","A numeric value representing the measurement error of the oxygen mass content value of the sample [mass-%].","1.2","g/g","ratio","real",0,1,"NA"
"H","A numeric value representing the hydrogen mass content of the sample [mass-%].","5.16","g/g","ratio","real",0,1,"NA"
"H_err","A numeric value representing the measurement error of the hydrogen mass content value of the sample [mass-%].","0.3","g/g","ratio","real",0,1,"NA"
"S","A numeric value representing the sulfur mass content of the sample [mass-ppm].","472.0","ug/g","ratio","real",0,1000000,"NA"
"S_err","A numeric value representing the measurement error of the sulfur mass content value of the sample [mass-ppm].","12.4","ug/g","ratio","real",0,1000000,"NA"
"P","A numeric value representing the phosphorous mass content of the sample [mass-ppm].","263.6","ug/g","ratio","real",0,1000000,"NA"
"P_err","A numeric value representing the measurement error of the phosphorous mass content value of the sample [mass-ppm].","5.4","ug/g","ratio","real",0,1000000,"NA"
"K","A numeric value representing the potassium mass content of the sample [mass-ppm].","481.0","ug/g","ratio","real",0,1000000,"NA"
"K_err","A numeric value representing the measurement error of the potassium mass content value of the sample [mass-ppm].","5.6","ug/g","ratio","real",0,1000000,"NA"
"Ca","A numeric value representing the calcium mass content of the sample [mass-ppm].","1353.0","ug/g","ratio","real",0,1000000,"NA"
"Ca_err","A numeric value representing the measurement error of the calcium mass content value of the sample [mass-ppm].","7.6","ug/g","ratio","real",0,1000000,"NA"
"Na","A numeric value representing the sodium mass content of the sample [mass-ppm].","104.0","ug/g","ratio","real",0,1000000,"NA"
"Na_err","A numeric value representing the measurement error of the sodium mass content value of the sample [mass-ppm].","6.7","ug/g","ratio","real",0,1000000,"NA"
"Mg","A numeric value representing the magnesium mass content of the sample [mass-ppm].","520.0","ug/g","ratio","real",0,1000000,"NA"
"Mg_err","A numeric value representing the measurement error of the magnesium mass content value of the sample [mass-ppm].","3.2","ug/g","ratio","real",0,1000000,"NA"
"Al","A numeric value representing the aluminium mass content of the sample [mass-ppm].","859.0","ug/g","ratio","real",0,1000000,"NA"
"Al_err","A numeric value representing the measurement error of the aluminium mass content value of the sample [mass-ppm].","3.2","ug/g","ratio","real",0,1000000,"NA"
"Si","A numeric value representing the silicium mass content of the sample [mass-ppm].","1681.5","ug/g","ratio","real",0,1000000,"NA"
"Si_err","A numeric value representing the measurement error of the silicium mass content value of the sample [mass-ppm].","9.7","ug/g","ratio","real",0,1000000,"NA"
"Cl","A numeric value representing the chlorine mass content of the sample [mass-ppm].","410.0","ug/g","ratio","real",0,1000000,"NA"
"Cl_err","A numeric value representing the measurement error of the chlorine mass content value of the sample [mass-ppm].","5.4","ug/g","ratio","real",0,1000000,"NA"
"Ti","A numeric value representing the titanium mass content of the sample [mass-ppm].","523.6","ug/g","ratio","real",0,1000000,"NA"
"Ti_err","A numeric value representing the measurement error of the titanium mass content value of the sample [mass-ppm].","5.6","ug/g","ratio","real",0,1000000,"NA"
"Cr","A numeric value representing the chromium mass content of the sample [mass-ppm].","4.02","ug/g","ratio","real",0,1000000,"NA"
"Cr_err","A numeric value representing the measurement error of the chromium mass content value of the sample [mass-ppm].","0.04","ug/g","ratio","real",0,1000000,"NA"
"Mn","A numeric value representing the manganese mass content of the sample [mass-ppm].","23.6","ug/g","ratio","real",0,1000000,"NA"
"Mn_err","A numeric value representing the measurement error of the manganese mass content value of the sample [mass-ppm].","0.04","ug/g","ratio","real",0,1000000,"NA"
"Fe","A numeric value representing the iron mass content of the sample [mass-ppm].","468","ug/g","ratio","real",0,1000000,"NA"
"Fe_err","A numeric value representing the measurement error of the iron mass content value of the sample [mass-ppm].","2.3","ug/g","ratio","real",0,1000000,"NA"
"Cu","A numeric value representing the copper mass content of the sample [mass-ppm].","10.8","ug/g","ratio","real",0,1000000,"NA"
"Cu_err","A numeric value representing the measurement error of the copper mass content value of the sample [mass-ppm].","0.2","ug/g","ratio","real",0,1000000,"NA"
"Zn","A numeric value representing the zinc mass content of the sample [mass-ppm].","3.9","ug/g","ratio","real",0,1000000,"NA"
